element,attribute,genre,value,count
div,type,prose-philosophy,textpart,198867
div,subtype,prose-philosophy,section,118254
note,type,prose-philosophy,marginal,78690
note,type,prose-philosophy,footnote,67578
div,type,prose-historiography,textpart,35510
p,rend,prose-philosophy,indent,29714
ref,lang,prose-philosophy,lat,24255
div,subtype,prose-philosophy,chapter,19553
note,type,prose-historiography,marginal,17671
div,subtype,prose-philosophy,part,16199
div,subtype,prose-historiography,verse,16168
div,type,verse-didactic,textpart,15861
div,subtype,prose-philosophy,paragraph,13831
div,subtype,prose-historiography,section,13251
div,subtype,prose-philosophy,line,12584
note,type,prose-oratory,footnote,10806
note,type,prose-historiography,footnote,9712
div,subtype,verse-didactic,verse,9239
div,type,prose-oratory,textpart,9083
div,type,prose-epistolary,textpart,7368
foreign,lang,attic-tragedy,grc,5664
div,subtype,prose-historiography,chapter,5609
div,subtype,prose-philosophy,fragment,5587
milestone,unit,prose-philosophy,ed2page,5304
hi,rend,prose-philosophy,superscript,5206
div,subtype,prose-oratory,section,4677
div,subtype,prose-philosophy,verse,4648
div,type,prose-biography,textpart,4394
bibl,lang,prose-philosophy,lat,4206
div,subtype,prose-oratory,chapter,4177
div,subtype,verse-didactic,paragraph,4061
note,lang,prose-philosophy,lat,4053
note,type,prose-oratory,marginal,3944
label,lang,prose-philosophy,lat,3719
p,rend,prose-philosophy,align(indent),3668
div,subtype,prose-epistolary,chapter,3568
div,type,verse-lyric-monodic,textpart,3537
div,subtype,prose-biography,section,3370
div,subtype,verse-lyric-monodic,verse,3340
div,type,prose-geography,textpart,3186
note,type,prose-philosophy,witness,3169
foreign,lang,prose-philosophy,lat,3126
note,type,prose-epistolary,footnote,2977
div,type,verse-epic,textpart,2900
note,place,attic-tragedy,unspecified,2855
note,type,verse-didactic,footnote,2842
milestone,unit,prose-philosophy,ed1page,2689
milestone,unit,prose-philosophy,altpage1,2607
note,lang,prose-philosophy,eng,2538
div,subtype,verse-epic,verse,2413
div,subtype,prose-epistolary,section,2399
milestone,unit,prose-historiography,pageseg,2353
div,subtype,prose-philosophy,sentence,2250
note,lang,prose-philosophy,mul,2132
div,subtype,prose-philosophy,subsection,1997
p,rend,prose-philosophy,merge,1953
div,subtype,prose-geography,section,1951
milestone,unit,prose-philosophy,altnumbering,1911
foreign,lang,verse-didactic,abbr,1789
milestone,unit,prose-philosophy,subsection,1739
milestone,unit,prose-philosophy,chapter,1715
milestone,unit,prose-philosophy,altref,1667
quote,type,prose-philosophy,lemma,1658
div,type,attic-tragedy,textpart,1614
p,rend,prose-biography,indent,1440
milestone,unit,prose-philosophy,fabrsection,1387
div,subtype,verse-didactic,section,1352
note,type,verse-didactic,marginal,1326
foreign,lang,prose-philosophy,grc,1324
milestone,unit,prose-philosophy,section,1323
title,lang,prose-philosophy,lat,1310
p,lang,prose-philosophy,lat,1290
milestone,unit,prose-historiography,mignepage,1234
div,subtype,prose-philosophy,page,1210
q,rend,prose-philosophy,single,1197
milestone,unit,prose-philosophy,lineno,1183
div,type,prose-dialogue,textpart,1174
note,type,prose-biography,footnote,1153
div,subtype,attic-tragedy,fragment,1094
milestone,unit,prose-philosophy,page,1026
milestone,unit,prose-historiography,pagep,1007
head,rend,prose-philosophy,center,1003
pb,ed,prose-philosophy,alt,991
div,subtype,prose-philosophy,book,981
div,type,verse-lyric-pindaric,textpart,917
div,subtype,prose-dialogue,section,911
div,subtype,verse-lyric-pindaric,line,898
foreign,lang,verse-epic,grc,897
div,subtype,prose-geography,paragraph,863
note,type,prose-epistolary,marginal,855
