element,genre,file_count,instance_count
lb,prose-philosophy,589,679032
p,prose-philosophy,767,267224
div,prose-philosophy,767,199644
note,prose-philosophy,381,155461
pb,prose-philosophy,750,83410
p,prose-historiography,63,48558
lb,prose-historiography,42,47709
div,prose-historiography,63,35573
ref,prose-philosophy,762,29246
note,prose-historiography,53,28593
milestone,prose-philosophy,226,27212
l,verse-didactic,20,19139
l,prose-philosophy,198,17025
l,attic-tragedy,11,16593
div,verse-didactic,33,15894
lb,prose-oratory,128,15646
note,prose-oratory,127,14799
p,verse-didactic,33,14042
pb,prose-historiography,63,13310
p,prose-oratory,151,12651
quote,prose-philosophy,115,11718
del,prose-philosophy,152,11426
label,prose-philosophy,53,10614
div,prose-oratory,151,9234
p,prose-epistolary,52,8330
bibl,prose-philosophy,57,8317
milestone,prose-historiography,19,8237
add,prose-philosophy,154,8027
l,verse-lyric-monodic,6,7773
head,prose-philosophy,666,7549
div,prose-epistolary,52,7420
lb,prose-biography,28,6630
persName,prose-philosophy,759,6289
foreign,attic-tragedy,7,5664
lb,prose-epistolary,13,5576
resp,prose-philosophy,760,5539
hi,prose-philosophy,11,5400
respStmt,prose-philosophy,760,5381
foreign,prose-philosophy,91,5349
pb,prose-oratory,151,5082
p,prose-geography,35,5002
p,prose-biography,48,4860
q,prose-philosophy,81,4775
lb,verse-didactic,21,4559
note,prose-epistolary,18,4495
div,prose-biography,48,4454
l,prose-historiography,32,4271
note,verse-didactic,20,4172
lg,prose-philosophy,147,4160
note,attic-tragedy,11,3794
lb,prose-geography,17,3566
gap,prose-philosophy,113,3545
div,verse-lyric-monodic,6,3543
p,verse-epic,12,3240
div,prose-geography,35,3221
div,verse-epic,12,2912
lg,verse-lyric-monodic,2,2891
p,verse-lyric-monodic,6,2839
pb,verse-didactic,33,2661
sp,attic-tragedy,10,2309
speaker,attic-tragedy,10,2306
w,prose-biography,2,1958
note,verse-lyric-pindaric,3,1906
title,prose-philosophy,767,1884
p,verse-lyric-pindaric,3,1804
foreign,verse-didactic,7,1792
pb,prose-biography,46,1761
pb,prose-epistolary,52,1733
orgName,prose-philosophy,367,1675
note,prose-biography,30,1668
editor,prose-philosophy,767,1663
ref,attic-tragedy,12,1654
div,attic-tragedy,12,1626
p,prose-dialogue,12,1604
q,prose-historiography,9,1565
language,prose-philosophy,767,1559
publisher,prose-philosophy,767,1539
date,prose-philosophy,767,1530
