urn,path,author,title,suggested_genre,confidence,recommended_genre,notes
ggm0001.ggm001.1st1K-grc1,ggm0001/ggm001/ggm0001.ggm001.1st1K-grc1.xml,Anonymous,Anametresis Pontou,prose-geography,high,prose-geography,
heb0001.heb010.1st1K-eng1,heb0001/heb010/heb0001.heb010.1st1K-eng1.xml,Hebrew Bible,Isaias,verse-epic,medium,verse-epic,
ogl0001.ogl001.1st1K-grc1,ogl0001/ogl001/ogl0001.ogl001.1st1K-grc1.xml,"Pinytus, Saint, Bishop of Knossos",De Epistola Pinyti ad Dionysium,prose-epistolary,high,prose-epistolary,
stoa0033a.tlg028.1st1K-grc1,stoa0033a/tlg028/stoa0033a.tlg028.1st1K-grc1.xml,Pseudo-Aristotle,De mundo,prose-philosophy,medium,prose-philosophy,
stoa0033a.tlg043.1st1K-grc1,stoa0033a/tlg043/stoa0033a.tlg043.1st1K-grc1.xml,Pseudo-Aristotle,De spiritu,prose-philosophy,high,prose-philosophy,
stoa0121.stoa001.opp-grc1,stoa0121/stoa001/stoa0121.stoa001.opp-grc1.xml,Eutropius,Breviarium historiae romanae,prose-historiography,high,prose-historiography,
stoa0146d.stoa001.1st1K-grc1,stoa0146d/stoa001/stoa0146d.stoa001.1st1K-grc1.xml,Hegemonius,Acta Archelai,prose-historiography,high,prose-historiography,
stoa0146d.stoa001.1st1K-lat1,stoa0146d/stoa001/stoa0146d.stoa001.1st1K-lat1.xml,Hegemonius,Acta Archelai,prose-historiography,high,prose-historiography,
tlg0005.tlg003.1st1K-grc1,tlg0005/tlg003/tlg0005.tlg003.1st1K-grc1.xml,Theocritus,Syrinx,verse-lyric-monodic,high,verse-lyric-monodic,
tlg0006.tlg020.1st1K-grc1,tlg0006/tlg020/tlg0006.tlg020.1st1K-grc1.xml,Euripides,Fragmenta,attic-tragedy,medium,attic-tragedy,
tlg0007.tlg146.1st1K-grc1,tlg0007/tlg146/tlg0007.tlg146.1st1K-grc1.xml,Plutarch,Παροιμίαι αἷς Ἀλεξανδρεῖς ἐχρῶντο,prose-philosophy,high,prose-philosophy,
tlg0007.tlg147.1st1K-grc1,tlg0007/tlg147/tlg0007.tlg147.1st1K-grc1.xml,Plutarch,Ἐκλογὴ περὶ τῶν ἀδυνάτων,prose-philosophy,high,prose-philosophy,
tlg0011.tlg003.1st1K-grc1,tlg0011/tlg003/tlg0011.tlg003.1st1K-grc1.xml,Sophocles,Ajax,attic-tragedy,high,attic-tragedy,
tlg0011.tlg003.1st1K-grc2,tlg0011/tlg003/tlg0011.tlg003.1st1K-grc2.xml,Sophocles,Ajax,attic-tragedy,high,attic-tragedy,
tlg0015.tlg001.1st1K-grc1,tlg0015/tlg001/tlg0015.tlg001.1st1K-grc1.xml,Herodian,Ab excessu divi Marci,prose-historiography,high,prose-historiography,
tlg0018.tlg001.1st1K-eng1,tlg0018/tlg001/tlg0018.tlg001.1st1K-eng1.xml,Philo Judaeus,De Opificio Mundi,prose-philosophy,high,prose-philosophy,
tlg0018.tlg001.1st1K-grc1,tlg0018/tlg001/tlg0018.tlg001.1st1K-grc1.xml,Philo Judaeus,De Opificio Mundi,prose-philosophy,high,prose-philosophy,
tlg0018.tlg002.1st1K-eng1,tlg0018/tlg002/tlg0018.tlg002.1st1K-eng1.xml,Philo Judaeus,Legum Allegoriarum Libri I-III,prose-philosophy,high,prose-philosophy,
tlg0018.tlg002.1st1K-grc1,tlg0018/tlg002/tlg0018.tlg002.1st1K-grc1.xml,Philo Judaeus,Legum Allegoriarum Libri I-III,prose-philosophy,high,prose-philosophy,
tlg0018.tlg003.1st1K-eng1,tlg0018/tlg003/tlg0018.tlg003.1st1K-eng1.xml,Philo Judaeus,De Cherubim,prose-philosophy,high,prose-philosophy,
tlg0018.tlg003.1st1K-grc1,tlg0018/tlg003/tlg0018.tlg003.1st1K-grc1.xml,Philo Judaeus,De Cherubim,prose-philosophy,high,prose-philosophy,
tlg0018.tlg004.1st1K-eng1,tlg0018/tlg004/tlg0018.tlg004.1st1K-eng1.xml,Philo Judaeus,De Sacrificiis Abelis Et Caini,prose-philosophy,high,prose-philosophy,
tlg0018.tlg004.1st1K-grc1,tlg0018/tlg004/tlg0018.tlg004.1st1K-grc1.xml,Philo Judaeus,De Sacrificiis Abelis Et Caini,prose-philosophy,high,prose-philosophy,
