urn,path,genre,structural_type,div_subtypes,milestone_units,issues
ggm0001.ggm001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/ggm0001/ggm001/ggm0001.ggm001.1st1K-grc1.xml,prose-geography,div-based,chapter|paragraph,,
heb0001.heb010.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/heb0001/heb010/heb0001.heb010.1st1K-eng1.xml,verse-epic,div-based,chapter|verse,,1 <div type='textpart'> element(s) lack @n (subtypes: verse); citation by position unreliable.
ogl0001.ogl001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/ogl0001/ogl001/ogl0001.ogl001.1st1K-grc1.xml,prose-epistolary,div-based,fragment,,
stoa0033a.tlg028.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/stoa0033a/tlg028/stoa0033a.tlg028.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
stoa0033a.tlg043.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/stoa0033a/tlg043/stoa0033a.tlg043.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
stoa0121.stoa001.opp-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/stoa0121/stoa001/stoa0121.stoa001.opp-grc1.xml,prose-historiography,mixed,book|chapter,section,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
stoa0146d.stoa001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/stoa0146d/stoa001/stoa0146d.stoa001.1st1K-grc1.xml,prose-historiography,div-based,chapter,,
stoa0146d.stoa001.1st1K-lat1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/stoa0146d/stoa001/stoa0146d.stoa001.1st1K-lat1.xml,prose-historiography,div-based,chapter,,
tlg0005.tlg003.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0005/tlg003/tlg0005.tlg003.1st1K-grc1.xml,verse-lyric-monodic,unknown,,,No <div type='textpart'> or <milestone> elements found; document appears unstructured.
tlg0006.tlg020.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0006/tlg020/tlg0006.tlg020.1st1K-grc1.xml,attic-tragedy,div-based,fragment,,
tlg0007.tlg146.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0007/tlg146/tlg0007.tlg146.1st1K-grc1.xml,prose-philosophy,div-based,centuria|section,,
tlg0007.tlg147.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0007/tlg147/tlg0007.tlg147.1st1K-grc1.xml,prose-philosophy,div-based,line,,
tlg0011.tlg003.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0011/tlg003/tlg0011.tlg003.1st1K-grc1.xml,attic-tragedy,milestone-based,,altline|antistrophe|epode|strophe,
tlg0011.tlg003.1st1K-grc2,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0011/tlg003/tlg0011.tlg003.1st1K-grc2.xml,attic-tragedy,milestone-based,,antistrophe|para|strophe,
tlg0015.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0015/tlg001/tlg0015.tlg001.1st1K-grc1.xml,prose-historiography,div-based,book|chapter|section,,
tlg0018.tlg001.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg001/tlg0018.tlg001.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg001/tlg0018.tlg001.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg002.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg002/tlg0018.tlg002.1st1K-eng1.xml,prose-philosophy,mixed,book|section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg002/tlg0018.tlg002.1st1K-grc1.xml,prose-philosophy,mixed,book|section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
