urn,path,author,title,suggested_genre,confidence,family,proposed_subclass,structure_signature,match,needs_review,recommended_genre,notes
urn:cts:greekLit:tlg0001.tlg001.perseus-grc2,tlg0001/tlg001/tlg0001.tlg001.perseus-grc2.xml,Apollonius Rhodius,Argonautica,verse-epic,high,verse,verse-book-line,book+l,ready,false,verse-book-line,
urn:cts:greekLit:tlg0003.tlg001.1st1K-eng1,tlg0003/tlg001/tlg0003.tlg001.1st1K-eng1.xml,Thucydides,History of the Peloponnesian War,prose-historiography,medium,prose,prose-standard,book+chapter+section+l,ready,false,prose-standard,
urn:cts:greekLit:tlg0003.tlg001.1st1K-eng2,tlg0003/tlg001/tlg0003.tlg001.1st1K-eng2.xml,Thucydides,History of the Peloponnesian War,prose-historiography,medium,prose,prose-standard,book+chapter+introduction+section+l,ready,false,prose-standard,
urn:cts:greekLit:tlg0003.tlg001.1st1K-fre1,tlg0003/tlg001/tlg0003.tlg001.1st1K-fre1.xml,Thucydides,History of the Peloponnesian War,prose-historiography,medium,prose,prose-book-chapter,book+chapter+introduction+l,ready,false,prose-book-chapter,
urn:cts:greekLit:tlg0003.tlg001.1st1K-fre2,tlg0003/tlg001/tlg0003.tlg001.1st1K-fre2.xml,Thucydides,History of the Peloponnesian War,prose-historiography,medium,prose,prose-book-chapter,book+chapter,ready,false,prose-book-chapter,
urn:cts:greekLit:tlg0003.tlg001.1st1K-ger1,tlg0003/tlg001/tlg0003.tlg001.1st1K-ger1.xml,Thucydides,History of the Peloponnesian War,prose-historiography,medium,prose,prose-standard,book+chapter+section,ready,false,prose-standard,
urn:cts:greekLit:tlg0003.tlg001.1st1K-ger2,tlg0003/tlg001/tlg0003.tlg001.1st1K-ger2.xml,Thucydides,History of the Peloponnesian War,prose-historiography,medium,prose,prose-book-chapter,book+chapter,ready,false,prose-book-chapter,
urn:cts:greekLit:tlg0003.tlg001.1st1K-ger3,tlg0003/tlg001/tlg0003.tlg001.1st1K-ger3.xml,Thucydides,History of the Peloponnesian War,prose-historiography,medium,prose,prose-book-chapter,book+chapter,ready,false,prose-book-chapter,
urn:cts:greekLit:tlg0003.tlg001.1st1K-ger4,tlg0003/tlg001/tlg0003.tlg001.1st1K-ger4.xml,Thucydides,History of the Peloponnesian War,prose-historiography,medium,prose,prose-standard,book+chapter+section,ready,false,prose-standard,
urn:cts:greekLit:tlg0003.tlg001.1st1K-ita1,tlg0003/tlg001/tlg0003.tlg001.1st1K-ita1.xml,Thucydides,History of the Peloponnesian War,prose-historiography,medium,prose,prose-book-chapter,book+chapter+introduction+l,ready,false,prose-book-chapter,
urn:cts:greekLit:tlg0003.tlg001.1st1K-lat2,tlg0003/tlg001/tlg0003.tlg001.1st1K-lat2.xml,Thucydides,History of the Peloponnesian War,prose-historiography,medium,prose,prose-standard,book+chapter+section+l,ready,false,prose-standard,
