urn,path,author,title,suggested_genre,confidence,family,proposed_subclass,structure_signature,match,needs_review,recommended_genre,notes
urn:cts:latinLit:phi0119.phi001.perseus-eng2,phi0119/phi001/phi0119.phi001.perseus-eng2.xml,"Plautus, Titus Maccius",Amphitruo,drama-line,high,drama,drama-act-scene-line,act+scene+l,ready,false,drama-act-scene-line,
urn:cts:latinLit:phi0119.phi001.perseus-lat2,phi0119/phi001/phi0119.phi001.perseus-lat2.xml,"Plautus, Titus Maccius",Amphitruo,drama-line,high,drama,drama-act-scene-line,act+scene+l,ready,false,drama-act-scene-line,
urn:cts:latinLit:phi0119.phi002.perseus-eng2,phi0119/phi002/phi0119.phi002.perseus-eng2.xml,"Plautus, Titus Maccius",Asinaria,drama-line,high,drama,drama-act-scene-line,act+scene+l,ready,false,drama-act-scene-line,
urn:cts:latinLit:phi0119.phi002.perseus-lat2,phi0119/phi002/phi0119.phi002.perseus-lat2.xml,"Plautus, Titus Maccius",Asinaria,drama-line,high,drama,drama-act-scene-line,act+scene+l,ready,false,drama-act-scene-line,
urn:cts:latinLit:phi0119.phi003.perseus-eng2,phi0119/phi003/phi0119.phi003.perseus-eng2.xml,"Plautus, Titus Maccius",Aulularia,drama-line,high,drama,drama-act-scene-line,act+scene+l,ready,false,drama-act-scene-line,
urn:cts:latinLit:phi0119.phi003.perseus-lat2,phi0119/phi003/phi0119.phi003.perseus-lat2.xml,"Plautus, Titus Maccius",Aulularia,drama-line,high,drama,drama-act-scene-line,act+scene+l,ready,false,drama-act-scene-line,
urn:cts:latinLit:phi0119.phi004.perseus-eng2,phi0119/phi004/phi0119.phi004.perseus-eng2.xml,"Plautus, Titus Maccius",Bacchides,drama-line,high,drama,drama-act-scene-line,act+scene+l,ready,false,drama-act-scene-line,
urn:cts:latinLit:phi0119.phi004.perseus-lat2,phi0119/phi004/phi0119.phi004.perseus-lat2.xml,"Plautus, Titus Maccius",Bacchides,drama-line,high,drama,drama-act-scene-line,act+scene+l,ready,false,drama-act-scene-line,
urn:cts:latinLit:phi0119.phi005.perseus-eng2,phi0119/phi005/phi0119.phi005.perseus-eng2.xml,"Plautus, Titus Maccius",Captivi,drama-line,high,drama,drama-act-scene-line,act+scene+l,ready,false,drama-act-scene-line,
urn:cts:latinLit:phi0119.phi005.perseus-lat2,phi0119/phi005/phi0119.phi005.perseus-lat2.xml,"Plautus, Titus Maccius",Captivi,drama-line,high,drama,drama-act-scene-line,act+scene+l,ready,false,drama-act-scene-line,
