repo,urn,file,structure_signature
canonical-greekLit,urn:cts:greekLit:tlg0012.tlg001.perseus-eng3,tlg0012/tlg001/tlg0012.tlg001.perseus-eng3.xml,book+card
canonical-greekLit,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4,tlg0012/tlg001/tlg0012.tlg001.perseus-eng4.xml,book+card
canonical-greekLit,urn:cts:greekLit:tlg0012.tlg002.perseus-eng3,tlg0012/tlg002/tlg0012.tlg002.perseus-eng3.xml,book+card
canonical-greekLit,urn:cts:greekLit:tlg0012.tlg002.perseus-eng4,tlg0012/tlg002/tlg0012.tlg002.perseus-eng4.xml,book+card
canonical-greekLit,urn:cts:greekLit:tlg0074.tlg003.perseus-grc2,tlg0074/tlg003/tlg0074.tlg003.perseus-grc2.xml,chapter+section
canonical-greekLit,urn:cts:greekLit:tlg0086.tlg035.perseus-eng2,tlg0086/tlg035/tlg0086.tlg035.perseus-eng2.xml,bekker_page+book+l
canonical-greekLit,urn:cts:greekLit:tlg0086.tlg035.perseus-grc2,tlg0086/tlg035/tlg0086.tlg035.perseus-grc2.xml,bekker_page+book+l
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg001.perseus-grc2,tlg0284/tlg001/tlg0284.tlg001.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg002.perseus-grc2,tlg0284/tlg002/tlg0284.tlg002.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg003.perseus-grc2,tlg0284/tlg003/tlg0284.tlg003.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg004.perseus-grc2,tlg0284/tlg004/tlg0284.tlg004.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg005.perseus-grc2,tlg0284/tlg005/tlg0284.tlg005.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg006.perseus-grc2,tlg0284/tlg006/tlg0284.tlg006.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg007.perseus-grc2,tlg0284/tlg007/tlg0284.tlg007.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg008.perseus-grc2,tlg0284/tlg008/tlg0284.tlg008.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg009.perseus-grc2,tlg0284/tlg009/tlg0284.tlg009.perseus-grc2.xml,jebb_page
